,car,price,body,mileage,engV,engType,registration,year,model,drive
29,Mercedes-Benz,105999.0,crossover,0,2.98,Diesel,yes,2016,GLE-Class,full
30,Nissan,13980.0,hatch,31,,Other,yes,2013,Leaf,front
31,Nissan,17300.0,hatch,24,,Other,yes,2013,Leaf,front
32,Volkswagen,10700.0,sedan,147,2.0,Petrol,yes,2007,Passat B6,front
33,Audi,2600.0,vagon,273,2.5,Diesel,no,1999,A6,front
34,Chrysler,13700.0,sedan,70,2.4,Petrol,yes,2008,Sebring,front
35,Volkswagen,8999.0,sedan,120,2.0,Petrol,yes,2008,Passat B6,front
36,Jaguar,18777.0,sedan,82,3.0,Petrol,yes,2008,XF,rear
37,Audi,2850.0,sedan,260,,Other,no,1999,A6,
38,Audi,37000.0,sedan,37,2.8,Petrol,yes,2012,A6,full
39,Mercedes-Benz,200000.0,van,19,3.5,Petrol,yes,2013,Sprinter 324 ïàññ.,rear
40,Audi,3850.0,vagon,215,2.5,Diesel,no,2002,A6,front
41,Nissan,13275.0,hatch,12,,Other,yes,2013,Leaf,front
42,Mercedes-Benz,20400.0,sedan,190,1.8,Gas,yes,2011,E-Class,rear
43,BMW,1900.0,sedan,300,2.5,Diesel,no,1997,5 Series,rear
44,BMW,39333.0,sedan,6,2.0,Petrol,yes,2016,520,
45,Mercedes-Benz,99999.0,crossover,0,2.99,Diesel,yes,2016,GLE-Class,full
46,Mercedes-Benz,70999.0,crossover,0,2.2,Diesel,yes,2016,GLE-Class,full
47,BMW,63500.0,crossover,1,2.0,Diesel,yes,2016,X5,full
48,BMW,59900.0,crossover,30,2.0,Diesel,yes,2016,X5,full
49,Mitsubishi,9200.0,crossover,110,2.4,Petrol,yes,2006,Outlander,full
50,Nissan,20241.897,crossover,0,1.6,Petrol,yes,2015,Juke,front
51,Mercedes-Benz,14490.0,vagon,212,2.2,Diesel,yes,2008,E-Class,rear
52,Mercedes-Benz,31500.0,sedan,123,2.2,Diesel,yes,2011,E-Class,
53,Mercedes-Benz,0.0,crossover,0,3.0,Diesel,yes,2016,GLE-Class,full
54,Volkswagen,8999.0,sedan,120,1.9,Diesel,yes,2007,Passat B6,front
55,Audi,3650.0,sedan,240,2.5,Diesel,no,2000,A6,front
56,Nissan,17000.0,hatch,38,,Other,yes,2013,Leaf,front
57,Mitsubishi,12000.0,sedan,121,2.4,Gas,yes,2009,Galant,front
58,Kia,20633.886000000002,crossover,0,1.7,Diesel,yes,2016,Sportage,front
59,Porsche,55000.0,crossover,105,3.0,Diesel,yes,2012,Cayenne,full
60,Kia,18000.0,crossover,64,2.0,Diesel,yes,2011,Sportage,full
61,Kia,21700.0,crossover,58,2.0,Diesel,yes,2012,Sportage,full
62,Volkswagen,2400.0,vagon,320,1.9,Diesel,no,2000,Passat B5,front
63,Volkswagen,2350.0,sedan,300,1.9,Diesel,no,1998,Passat B5,front
64,Honda,18600.0,vagon,98,2.4,Gas,yes,2011,Accord,front
65,Mercedes-Benz,104999.0,crossover,1,3.0,Diesel,yes,2016,GLE-Class,full
66,Toyota,195000.0,crossover,0,4.5,Diesel,yes,2016,Land Cruiser 200,full
67,Porsche,49900.0,crossover,73,3.0,Diesel,yes,2011,Cayenne,full
68,Porsche,50900.0,crossover,53,3.6,Petrol,yes,2013,Cayenne,full
69,Porsche,99999.0,crossover,1,2.99,Diesel,yes,2016,Cayenne,full
70,Mercedes-Benz,0.0,crossover,0,3.0,Diesel,yes,2016,GLE-Class,full
71,Toyota,0.0,crossover,0,4.5,Diesel,yes,2016,Land Cruiser 200,full
72,Toyota,102999.0,crossover,0,4.5,Diesel,yes,2016,Land Cruiser 200,full
73,Audi,35900.0,crossover,143,3.0,Diesel,yes,2010,Q7,full
74,Honda,16500.0,sedan,147,2.4,Petrol,yes,2009,Accord,front
75,Toyota,103999.0,crossover,0,4.5,Diesel,yes,2016,Land Cruiser 200,full
76,Porsche,114900.0,crossover,25,4.8,Petrol,yes,2013,Cayenne,full
77,Porsche,26500.0,crossover,160,4.8,Petrol,yes,2008,Cayenne,full
78,Mitsubishi,12999.0,crossover,140,2.4,Gas,yes,2007,Outlander XL,full
79,Honda,30000.0,sedan,52,3.5,Gas,yes,2014,Accord,front
80,Porsche,26900.0,crossover,135,4.8,Petrol,yes,2008,Cayenne,full
81,Toyota,80000.0,crossover,23,4.5,Diesel,yes,2014,Land Cruiser 200,full
82,BMW,8500.0,sedan,260,2.2,Gas,yes,2001,520,rear
83,Mercedes-Benz,7000.0,van,197,2.2,Diesel,yes,2002,Vito ïàññ.,front
84,Audi,36000.0,crossover,145,3.0,Petrol,yes,2010,Q7,full
85,Mercedes-Benz,9500.0,van,280,2.2,Diesel,yes,2005,Vito ïàññ.,rear
86,Toyota,103999.0,crossover,0,4.5,Diesel,yes,2016,Land Cruiser 200,full
87,Toyota,100000.0,crossover,0,4.5,Diesel,yes,2016,Land Cruiser 200,full
88,Mercedes-Benz,16500.0,other,107,2.2,Diesel,yes,2010,Vito ïàññ.,front
89,Toyota,15500.0,sedan,120,3.5,Petrol,yes,2008,Camry,front
90,Porsche,0.0,sedan,22,4.8,Petrol,yes,2014,Panamera,full
91,Mercedes-Benz,10999.0,van,191,2.2,Diesel,yes,2007,Vito ïàññ.,rear
92,Audi,0.0,crossover,0,3.0,Diesel,yes,2015,Q7,full
93,Audi,88888.0,crossover,0,3.0,Diesel,yes,2015,Q7,full
94,Toyota,0.0,crossover,49,4.5,Diesel,yes,2014,Land Cruiser 200,full
95,Mercedes-Benz,16500.0,van,223,2.2,Diesel,yes,2009,Vito ïàññ.,rear
96,Volkswagen,17900.0,crossover,145,3.0,Diesel,yes,2007,Touareg,full
97,Volkswagen,0.0,van,165,2.0,Diesel,yes,2013,T5 (Transporter) ãðóç,front
98,Mercedes-Benz,20400.0,sedan,190,1.8,Gas,yes,2011,E-Class,rear
99,Volkswagen,20000.0,crossover,115,2.5,Diesel,yes,2008,Touareg,full
100,BMW,21000.0,sedan,186,3.0,Petrol,yes,2007,530,rear
101,Hyundai,11800.0,sedan,65,1.4,Petrol,yes,2013,Accent,front
102,Mercedes-Benz,0.0,van,450,2.2,Diesel,yes,2000,Vito ïàññ.,front
103,Volkswagen,10000.0,van,231,1.9,Diesel,yes,2005,T5 (Transporter) ïàññ.,
104,Volkswagen,37990.0,crossover,140,3.0,Diesel,yes,2012,Touareg,full
105,Porsche,0.0,crossover,0,3.0,Diesel,yes,2016,Cayenne,full
106,BMW,3900.0,vagon,240,3.0,Diesel,no,2001,530,rear
107,Volkswagen,33500.0,crossover,98,,Petrol,yes,2013,Touareg,full
108,Hyundai,9700.0,sedan,54,1.4,Petrol,yes,2013,Accent,front
109,Nissan,12400.0,hatch,26,,Other,yes,2011,Leaf,
110,Mercedes-Benz,6200.0,sedan,221,1.8,Gas,yes,2004,E-Class,rear
111,Renault,10500.0,vagon,185,1.5,Diesel,yes,2011,Megane,front
112,Hyundai,6900.0,crossover,105,1.6,Petrol,yes,2009,Accent,front
113,Mercedes-Benz,20300.0,sedan,198,1.8,Gas,yes,2011,E-Class,rear
114,Audi,18500.0,crossover,185,3.6,Petrol,yes,2008,Q7,full
115,Toyota,73900.0,crossover,1,4.5,Diesel,yes,2016,Land Cruiser 200,full
116,Toyota,30500.0,crossover,40,2.7,Petrol,yes,2011,Land Cruiser Prado,full
117,Toyota,30800.0,crossover,56,2.7,Gas,yes,2011,Land Cruiser Prado,full
118,Toyota,25500.0,crossover,200,4.0,Petrol,yes,2007,Land Cruiser Prado,full
119,Mercedes-Benz,29500.0,sedan,37,1.8,Petrol,yes,2012,E-Class,
120,Opel,3550.0,vagon,231,2.0,Diesel,no,2005,Vectra C,front
121,Volkswagen,0.0,van,162,2.0,Diesel,yes,2011,T5 (Transporter) ãðóç,front
122,Toyota,99999.0,crossover,0,4.5,Petrol,yes,2016,Land Cruiser 200,full
123,Mercedes-Benz,107999.0,crossover,0,2.98,Diesel,yes,2016,GLS 350,full
124,BMW,0.0,crossover,1,3.0,Diesel,yes,2014,X6,full
125,BMW,0.0,crossover,0,3.0,Diesel,yes,2015,X6,full
126,Toyota,74999.0,crossover,1,4.5,Diesel,yes,2016,Land Cruiser 200,full
127,Audi,34000.0,crossover,118,2.0,Diesel,yes,2013,Q5,full
128,BMW,2850.0,sedan,214,1.9,Petrol,no,2000,318,rear
129,Volkswagen,3250.0,sedan,255,1.9,Diesel,no,2003,Passat B5,front
130,Volkswagen,16900.0,crossover,133,2.5,Diesel,yes,2007,Touareg,full
131,Toyota,99999.0,crossover,0,4.5,Diesel,yes,2016,Land Cruiser 200,full
132,Chevrolet,6800.0,sedan,106,1.6,Petrol,yes,2007,Lacetti,front
133,Toyota,23400.0,crossover,120,4.0,Petrol,yes,2007,Land Cruiser Prado,full
134,Skoda,17900.0,sedan,65,1.8,Petrol,yes,2013,Superb,front
135,Toyota,37700.0,crossover,62,3.0,Diesel,yes,2013,Land Cruiser Prado,full
136,Land Rover,29500.0,crossover,50,3.5,Diesel,yes,2008,Range Rover Sport,full
137,Mercedes-Benz,93555.0,crossover,0,,Other,yes,2016,GLS 350,
138,Volkswagen,30000.0,sedan,67,2.0,Diesel,yes,2013,Passat B7,front
139,Mitsubishi,7999.0,sedan,112,2.0,Petrol,yes,2008,Lancer X,front
140,Land Rover,43500.0,crossover,54,5.0,Petrol,yes,2012,Range Rover Sport,full
141,Mercedes-Benz,107777.0,crossover,0,3.0,Diesel,yes,2016,GLS 350,full
142,Mitsubishi,8400.0,sedan,91,1.5,Petrol,yes,2009,Lancer X,front
143,Land Rover,40000.0,vagon,52,2.2,Diesel,yes,2013,Range Rover Evoque,full
144,Mercedes-Benz,109999.0,crossover,0,2.98,Diesel,yes,2016,GLS 350,full
145,Opel,2780.0,sedan,254,2.2,Diesel,yes,2003,Vectra C,front
146,Mercedes-Benz,43500.0,other,51,3.0,Diesel,yes,2014,E-Class,rear
147,Volkswagen,18700.0,other,145,2.0,Diesel,yes,2011,T5 (Transporter) ãðóç,front
148,Chevrolet,7800.0,sedan,85,1.6,Gas,yes,2012,Lacetti,front
149,BMW,6350.0,crossover,156,4.4,Gas,no,2002,X5,full
150,Daewoo,3500.0,sedan,112,,Petrol,yes,2007,Lanos,front
151,BMW,25500.0,other,163,4.8,Petrol,yes,2008,X5,full
152,Land Rover,53500.0,crossover,69,3.5,Diesel,yes,2012,Range Rover Sport,full
153,Nissan,15999.0,crossover,59,2.0,Petrol,yes,2011,Qashqai,full
154,Nissan,17700.0,crossover,40,1.6,Petrol,yes,2014,Qashqai,
155,Volkswagen,14499.0,van,164,2.0,Diesel,yes,2013,T5 (Transporter) ãðóç,front
156,Daewoo,4300.0,sedan,70,1.5,Petrol,yes,2007,Lanos,front
157,Mitsubishi,18999.0,crossover,173,3.8,Gas,yes,2008,Pajero Wagon,full
158,Land Rover,0.0,crossover,45,3.0,Petrol,yes,2014,Range Rover Sport,full
159,Mercedes-Benz,71999.0,crossover,0,2.2,Diesel,yes,2016,GLE-Class,full
160,Mercedes-Benz,0.0,crossover,0,3.0,Diesel,yes,2016,GLS 350,full
161,Mitsubishi,18500.0,crossover,135,3.0,Gas,yes,2009,Pajero Wagon,full
162,Volkswagen,18900.0,other,45,2.0,Diesel,yes,2013,Passat B7,front
163,Mercedes-Benz,17900.0,van,167,2.2,Diesel,yes,2012,Vito ãðóç.,
164,BMW,67500.0,crossover,1,2.0,Diesel,yes,2016,X5,full
165,BMW,67500.0,crossover,1,2.5,Diesel,yes,2016,X5,full
166,Land Rover,28999.0,crossover,139,3.6,Diesel,yes,2008,Range Rover Sport,full
167,Land Rover,49999.0,crossover,43,5.0,Petrol,yes,2012,Range Rover Sport,full
168,Toyota,14700.0,sedan,139,3.5,Petrol,yes,2008,Camry,front
169,Land Rover,53500.0,crossover,57,3.0,Diesel,yes,2013,Range Rover Sport,full
170,Daewoo,5600.0,sedan,145,1.6,Petrol,yes,2008,Lanos,front
171,Land Rover,78900.0,crossover,0,3.0,Diesel,yes,2015,Range Rover Sport,full
172,Skoda,13200.0,hatch,64,1.8,Petrol,yes,2012,Octavia A5,front
173,BMW,37200.0,other,115,3.0,Diesel,yes,2011,X5,full
174,Land Rover,27500.0,other,174,3.6,Diesel,yes,2008,Range Rover,full
175,Mazda,9200.0,sedan,124,2.0,Petrol,yes,2007,3,front
176,Mercedes-Benz,17500.0,van,220,3.0,Diesel,yes,2012,Vito ãðóç.,rear
177,Toyota,24000.0,sedan,16,2.5,Petrol,yes,2013,Camry,front
178,Land Rover,77777.0,crossover,42,2.99,Diesel,yes,2014,Range Rover Sport,full
179,Mazda,8000.0,sedan,167,2.0,Petrol,yes,2007,6,front
180,BMW,0.0,crossover,36,3.0,Diesel,yes,2013,X5,full
181,Lexus,85999.0,crossover,39,5.7,Gas,yes,2013,LX 570,full
182,Mercedes-Benz,2400.0,sedan,3,3.0,Diesel,yes,1998,E-Class,front
183,Toyota,195000.0,crossover,0,4.5,Diesel,yes,2016,Land Cruiser 200,full
184,Audi,4600.0,vagon,242,99.99,Diesel,no,2004,A6,front
185,Mitsubishi,18900.0,crossover,127,3.0,Gas,yes,2008,Pajero Wagon,full
186,Mercedes-Benz,114999.0,crossover,0,2.99,Diesel,yes,2016,GLS 350,full
187,Mercedes-Benz,103333.0,crossover,0,3.0,Diesel,yes,2016,GLE-Class,full
188,Mercedes-Benz,0.0,crossover,1,3.0,Petrol,yes,2015,GLE-Class,full
189,Toyota,20800.0,crossover,107,4.0,Petrol,yes,2006,Land Cruiser Prado,full
190,BMW,24500.0,crossover,170,4.8,Gas,yes,2007,X5,full
191,Toyota,12300.0,sedan,157,2.4,Gas,yes,2007,Camry,front
192,Mercedes-Benz,20500.0,sedan,173,1.8,Gas,yes,2011,E-Class,rear
193,BMW,11500.0,sedan,193,4.4,Petrol,yes,2000,740,rear
194,Mercedes-Benz,13200.0,van,182,2.2,Diesel,yes,2011,Vito ãðóç.,rear
195,BMW,29900.0,crossover,235,3.0,Diesel,yes,2009,X5,full
196,Mercedes-Benz,12500.0,van,167,2.2,Diesel,yes,2013,Vito ãðóç.,rear
197,Skoda,13999.0,sedan,88,1.8,Petrol,yes,2012,Octavia A5,front
198,Ford,15500.0,crossover,68,2.5,Gas,yes,2010,Kuga,full
199,Lexus,79500.0,crossover,40,5.7,Petrol,yes,2014,LX 570,full
200,Land Rover,30000.0,other,155,3.6,Diesel,yes,2008,Range Rover Sport,full
201,Lexus,16600.0,sedan,179,3.0,Petrol,yes,2006,GS 300,full
202,Toyota,14300.0,sedan,71,2.4,Petrol,yes,2008,Camry,front
203,Lexus,0.0,crossover,11,5.7,Petrol,yes,2016,LX 570,full
204,Lexus,47000.0,crossover,1,5.7,Petrol,yes,2008,LX 570,full
205,Daewoo,3200.0,sedan,130,1.5,Petrol,yes,2003,Lanos,front
206,Mercedes-Benz,0.0,other,22,3.0,Diesel,yes,2015,S 350,full
207,Audi,24996.0,sedan,98,3.2,Petrol,yes,2009,A5,full
208,Mercedes-Benz,9200.0,other,280,2.4,Petrol,yes,2003,E-Class,rear
209,Audi,6800.0,sedan,225,2.4,Gas,yes,1998,A6,front
210,Ford,15500.0,crossover,68,2.5,Diesel,yes,2010,Kuga,front
211,Mercedes-Benz,38200.0,sedan,39,1.6,Petrol,yes,2015,C-Class,rear
212,Hyundai,10500.0,crossover,120,,Other,yes,2007,Tucson,full
213,Skoda,19200.0,sedan,75,1.8,Petrol,yes,2014,Octavia A7,front
214,Mercedes-Benz,125000.0,sedan,18,3.0,Diesel,yes,2015,S 350,full
215,Mercedes-Benz,0.0,sedan,62,3.0,Diesel,yes,2013,S 350,rear
216,Porsche,51900.0,sedan,78,4.8,Petrol,yes,2011,Panamera,
217,Porsche,87900.0,crossover,1,3.0,Diesel,yes,2016,Cayenne,full
218,Toyota,9000.0,sedan,232,2.4,Petrol,yes,2005,Camry,front
219,Nissan,11500.0,crossover,128,2.0,Petrol,yes,2008,Qashqai,
220,Infiniti,35999.0,crossover,98,3.7,Gas,yes,2012,FX 37,full
221,Lexus,21900.0,sedan,77,3.0,Petrol,yes,2008,GS 300,rear
222,Toyota,13900.0,sedan,139,2.4,Other,yes,2008,Camry,front
223,Lexus,22400.0,crossover,100,4.7,Gas,yes,2005,GX,full
224,Porsche,81000.0,crossover,35,4.8,Petrol,yes,2014,Cayenne,full
225,Mercedes-Benz,6200.0,other,340,2.4,Gas,yes,1998,E-Class,rear
226,BMW,66900.0,crossover,70,3.0,Diesel,yes,2014,X5,full
227,BMW,104999.0,crossover,2,3.0,Diesel,yes,2016,X5,full
228,Mercedes-Benz,38600.0,other,12,1.8,Petrol,yes,2012,E-Class,rear
229,Nissan,21850.0,crossover,64,2.0,Petrol,yes,2013,X-Trail,full
230,Mercedes-Benz,37500.0,other,94,5.5,Petrol,yes,2009,CL 55 AMG,rear
231,Nissan,17000.0,hatch,20,,Other,yes,2014,Leaf,front
232,Audi,39000.0,sedan,18,1.8,Other,yes,2015,A5,front
233,Lexus,44500.0,crossover,144,5.7,Gas,yes,2009,LX 570,full
234,Mercedes-Benz,24999.0,sedan,112,2.2,Diesel,yes,2012,C-Class,
235,Toyota,11300.0,hatch,87,1.0,Petrol,yes,2009,IQ,front
236,Nissan,25382.955,crossover,0,1.6,Diesel,yes,2016,Qashqai,full
237,Skoda,8100.0,sedan,135,1.8,Petrol,yes,2008,Superb,front
238,Mitsubishi,23000.0,crossover,125,3.0,Gas,yes,2008,Pajero Wagon,full
239,Nissan,14200.0,sedan,28,,Other,yes,2014,Leaf,front
240,Tesla,159600.0,sedan,0,,Other,yes,2016,Model S,full
241,Mercedes-Benz,0.0,vagon,200,2.2,Diesel,yes,2006,Vito ïàññ.,rear
242,Audi,1950.0,vagon,210,1.8,Gas,no,1996,A4,front
243,Land Rover,33000.0,crossover,140,5.0,Petrol,yes,2010,Range Rover Sport,full
244,Audi,0.0,crossover,65,3.0,Diesel,yes,2013,A6,full
245,Land Rover,51500.0,crossover,93,3.0,Diesel,yes,2013,Range Rover Sport,full
246,Skoda,22700.0,hatch,24,1.4,Petrol,yes,2014,Octavia A7,front
247,Nissan,17500.0,hatch,62,,Other,yes,2013,Leaf,front
248,Skoda,11900.0,sedan,109,1.8,Petrol,yes,2012,Octavia A5,front
249,Porsche,0.0,crossover,200,4.8,Petrol,yes,2007,Cayenne,full
250,BMW,28000.0,sedan,170,2.0,Diesel,yes,2011,520,rear
251,Subaru,12900.0,vagon,116,2.0,Petrol,yes,2008,Forester,full
252,Kia,16400.0,hatch,54,1.6,Diesel,yes,2013,Ceed,front
253,Toyota,24171.42,sedan,1,2.5,Petrol,yes,2016,Camry,front
254,Audi,1950.0,sedan,320,19.0,Other,no,1996,A4,
255,Mercedes-Benz,20300.0,sedan,198,1.8,Gas,yes,2011,E-Class,rear
256,Subaru,14000.0,crossover,171,99.99,Petrol,yes,2010,Forester,full
257,Volkswagen,9900.0,sedan,80,1.6,Petrol,yes,2011,Polo,front
258,Mercedes-Benz,110000.0,crossover,0,3.0,Diesel,yes,2016,GLS 350,full
259,Nissan,16500.0,hatch,32,,Other,yes,2013,Leaf,front
260,Audi,25500.0,sedan,140,2.8,Petrol,yes,2012,A6,front
261,Renault,13300.0,other,132,1.5,Diesel,yes,2012,Megane,
262,Volkswagen,7000.0,van,345,1.9,Diesel,yes,2006,T5 (Transporter) ãðóç,front
263,VAZ,3600.0,other,80,2.0,Gas,yes,2002,2121,full
264,Honda,12990.0,sedan,111,1.8,Petrol,yes,2011,Civic,front
265,Porsche,0.0,sedan,14,3.6,Petrol,yes,2014,Panamera,full
266,Land Rover,147000.0,crossover,15,5.0,Petrol,yes,2015,Range Rover Sport,full
267,Honda,11900.0,sedan,109,2.4,Petrol,yes,2009,Accord,front
268,Volkswagen,12199.0,vagon,149,2.0,Diesel,yes,2008,Passat B6,front
269,Chevrolet,5200.0,sedan,179,1.5,Gas,yes,2008,Aveo,front
270,Renault,10500.0,vagon,185,1.5,Diesel,yes,2011,Megane,front
271,Toyota,24800.0,sedan,43,2.5,Gas,yes,2015,Camry,front
272,Kia,13300.0,hatch,35,1.6,Petrol,yes,2012,Ceed,front
273,Audi,2200.0,sedan,250,,Diesel,no,2001,A6,front
274,Audi,2300.0,vagon,250,2.5,Diesel,no,2001,A6,full
275,Audi,2350.0,vagon,250,,Diesel,no,2001,A6,front
276,Audi,2500.0,sedan,180,,Petrol,no,2000,A4,front
277,BMW,0.0,crossover,8,2.0,Diesel,yes,2016,X5,full
278,Mitsubishi,6200.0,sedan,152,1.6,Petrol,yes,2006,Lancer,front
279,Nissan,18200.0,crossover,65,3.5,Gas,yes,2009,Murano,full
280,Ford,12500.0,sedan,63,1.6,Petrol,yes,2013,Focus,front
281,Porsche,117777.0,hatch,9,4.8,Petrol,yes,2014,Panamera,full
282,Kia,8800.0,other,135,2.4,Gas,yes,2006,Sorento,full
283,Porsche,69900.0,sedan,40,3.0,Diesel,yes,2013,Panamera,rear
284,Opel,5350.0,sedan,180,1.4,Petrol,yes,2007,Astra G,front
285,Kia,42741.621,crossover,0,2.2,Diesel,yes,2016,Sorento,full
286,Volkswagen,16500.0,sedan,123,1.8,Petrol,yes,2010,Passat B6,front
287,Chevrolet,6700.0,sedan,80,1.5,Petrol,yes,2011,Aveo,front
288,Mercedes-Benz,111999.0,crossover,0,3.0,Diesel,yes,2016,GLS 350,full
289,Audi,3700.0,vagon,273,2.5,Diesel,no,2003,A6,front
290,Porsche,0.0,crossover,13,3.0,Diesel,yes,2015,Macan,full
291,Alfa Romeo,5900.0,hatch,199,1.6,Petrol,yes,2002,147,front
292,Toyota,75500.0,crossover,50,4.6,Petrol,yes,2015,Land Cruiser 200,full
293,Mercedes-Benz,55000.0,crossover,40,4.6,Petrol,yes,2013,ML 500,full
294,Mitsubishi,9800.0,sedan,148,2.0,Gas,yes,2008,Lancer X,front
295,Subaru,6100.0,vagon,350,2.0,Petrol,yes,2005,Forester,full
296,Chevrolet,5500.0,sedan,121,1.5,Petrol,yes,2006,Aveo,front
297,Chevrolet,7799.0,sedan,199,1.6,Gas,yes,2012,Aveo,front
298,Honda,13900.0,hatch,63,1.8,Petrol,yes,2013,Civic,front
299,Kia,14500.0,crossover,106,2.5,Diesel,yes,2008,Sorento,full
300,Smart,8000.0,other,62,1.0,Petrol,yes,2011,Fortwo,rear
301,Renault,14700.0,crossover,61,1.5,Diesel,yes,2013,Duster,front
302,Lexus,135555.0,crossover,0,4.5,Diesel,yes,2016,LX 450,full
303,Hyundai,14500.0,crossover,102,2.2,Diesel,yes,2008,Santa FE,full
304,VAZ,4100.0,hatch,60,1.6,Petrol,yes,2013,2114,front
305,Porsche,54900.0,sedan,64,4.8,Petrol,yes,2011,Panamera,full
306,BMW,30500.0,sedan,73,2.0,Petrol,yes,2013,520,rear
307,Volkswagen,10700.0,sedan,195,3.2,Petrol,yes,2007,Passat B6,full
308,Nissan,17700.0,hatch,21,0.11,Other,yes,2014,Leaf,front
309,Renault,8700.0,vagon,123,1.5,Diesel,yes,2009,Megane,front
310,Mitsubishi,6200.0,sedan,170,,Other,yes,2005,Lancer,front
311,Honda,13200.0,sedan,145,2.0,Gas,yes,2008,Accord,front
312,Toyota,59900.0,crossover,90,4.5,Diesel,yes,2012,Land Cruiser 200,full
313,Ford,12099.0,sedan,109,1.6,Gas,yes,2011,Focus,front
314,Volkswagen,7300.0,van,240,1.9,Diesel,yes,2005,Caddy ïàññ.,front
315,Mercedes-Benz,24800.0,other,160,3.0,Diesel,yes,2007,S 320,rear
316,Tesla,80000.0,sedan,27,,Other,yes,2013,Model S,front
317,Ford,12300.0,hatch,71,1.6,Gas,yes,2013,Fiesta,front
318,Subaru,17000.0,crossover,134,2.0,Petrol,yes,2011,Forester,full
319,Tesla,58000.0,hatch,52,,Other,yes,2013,Model S,front
320,Land Rover,102999.0,crossover,39,5.0,Petrol,yes,2014,Range Rover,full
321,Peugeot,8500.0,van,135,1.6,Diesel,yes,2009,Partner ïàññ.,front
322,Hyundai,29999.0,crossover,52,2.2,Diesel,yes,2014,Santa FE,full
323,Suzuki,11500.0,crossover,101,2.0,Petrol,yes,2008,Grand Vitara,full
324,Kia,20500.0,crossover,98,2.0,Petrol,yes,2011,Sportage,full
325,BMW,89999.0,crossover,17,4.4,Petrol,yes,2015,X6 M,full
326,Renault,7800.0,vagon,120,1.5,Diesel,yes,2008,Megane,front
327,Lexus,16500.0,sedan,115,3.0,Petrol,yes,2007,GS 300,rear
328,Renault,10600.0,vagon,220,2.5,Other,yes,2006,Trafic ïàññ.,front
329,Audi,37800.0,other,126,3.0,Diesel,yes,2010,Q7,full
330,Volkswagen,8800.0,van,93,1.6,Diesel,yes,2012,Caddy ãðóç.,front
331,BMW,8500.0,sedan,284,1.9,Gas,yes,2000,316,rear
332,Toyota,25900.0,crossover,97,4.0,Petrol,yes,2009,Land Cruiser Prado,full
333,Land Rover,95000.0,crossover,60,5.0,Petrol,yes,2014,Range Rover,full
334,Toyota,36000.0,crossover,940,,Other,yes,2009,Land Cruiser 200,
335,Subaru,8000.0,crossover,210,2.0,Petrol,yes,2005,Forester,full
336,BMW,2550.0,sedan,280,1.6,Petrol,no,2000,316,rear
337,Nissan,18500.0,hatch,9,,Other,yes,2015,Leaf,front
338,Nissan,20999.0,hatch,12,,Other,yes,2015,Leaf,front
339,Nissan,14999.0,hatch,31,1.0,Other,yes,2013,Leaf,front
